,,,
,,,
,,,
,,,
,Time After Scan Start (s),SPO2%,V_Frame
,9.59999999999999,98,1998
,15.6,98,2178
,21.6,98,2358
,27.6,98,2538
,33.6,98,2718
,39.6,98,2898
,45.6,98,3078
,51.6,98,3258
,57.6,98,3438
,63.6,99,3618
,69.6,99,3798
,75.6,99,3978
,81.6,99,4158
,87.6,99,4338
,93.6,99,4518
,99.6,99,4698
,105.6,99,4878
,111.6,99,5058
,117.6,99,5238
,123.6,99,5418
,129.6,99,5598
,135.6,99,5778
,141.6,99,5958
,147.6,99,6138
,153.6,99,6318
,159.6,99,6498
,165.6,99,6678
,171.6,99,6858
,177.6,99,7038
,183.6,99,7218
,189.6,99,7398
,195.6,99,7578
,201.6,99,7758
,207.6,99,7938
,213.6,99,8118
,219.6,99,8298
,225.6,99,8478
,231.6,99,8658
,237.6,99,8838
,243.6,99,9018
,249.6,99,9198
,255.6,98,9378
,261.6,99,9558
,267.6,99,9738
,273.6,99,9918
,279.6,99,10098
,285.6,98,10278
,291.6,98,10458
,297.6,98,10638
,303.6,99,10818
,309.6,99,10998
,315.6,99,11178
,321.6,99,11358
,327.6,99,11538
,333.6,99,11718
,339.6,99,11898
,345.6,99,12078
,351.6,99,12258
,357.6,99,12438
,363.6,99,12618
,369.6,99,12798
,375.6,99,12978
,381.6,99,13158
,387.6,99,13338
,393.6,99,13518
,399.6,99,13698
,405.6,99,13878
,411.6,99,14058
,417.6,99,14238
,423.6,99,14418
,429.6,99,14598
,435.6,98,14778
,441.6,98,14958
,447.6,98,15138
,453.6,98,15318
,459.6,98,15498
,465.6,99,15678
,471.6,99,15858
,477.6,99,16038
,483.6,99,16218
,489.6,99,16398
,495.6,99,16578
,501.6,99,16758
,507.6,99,16938
,513.6,99,17118
,519.6,99,17298
,525.6,99,17478
,531.6,99,17658
,537.6,99,17838
,543.6,99,18018
,549.6,99,18198
,555.6,98,18378
,561.6,98,18558
,567.6,99,18738
,573.6,99,18918
,579.6,99,19098
,585.6,99,19278
,591.6,99,19458
,597.6,99,19638
,603.6,99,19818
,609.6,99,19998
,615.6,99,20178
,621.6,99,20358
,627.6,99,20538
,633.6,99,20718
,639.6,99,20898
,645.6,98,21078
,651.6,98,21258
,657.6,98,21438
,663.6,98,21618
,669.6,98,21798
,675.6,98,21978
,681.6,99,22158
,687.6,99,22338
,693.6,99,22518
,699.6,99,22698
,705.6,99,22878
,711.6,99,23058
,717.6,99,23238
,723.6,98,23418
,729.6,98,23598
,735.6,98,23778
,741.6,98,23958
,747.6,99,24138
,753.6,99,24318
,759.6,99,24498
,765.6,99,24678
,771.6,99,24858
,777.6,99,25038
,783.6,99,25218
,789.6,99,25398
,795.6,99,25578
,801.6,99,25758
,807.6,99,25938
,813.6,99,26118
,819.6,99,26298
,825.6,99,26478
,831.6,99,26658
,837.6,99,26838
,843.6,99,27018
,849.6,99,27198
,855.6,99,27378
,861.6,99,27558
,867.6,99,27738
,873.6,99,27918
,879.6,99,28098
,885.6,99,28278
,891.6,99,28458
,897.6,99,28638
,903.6,99,28818
,909.6,99,28998
,915.6,99,29178
,921.6,99,29358
,927.6,99,29538
,933.6,99,29718
,939.6,99,29898
,945.6,99,30078
,951.6,99,30258
,957.6,99,30438
